SUB RMENU CODE,CODE DESCRIPTION
SREAS,Emergency Alarm Station Activation
SRO,Passenger Other
SRSA,Sexual Assault
SRSP,Suspicious Package
SRUT,Unauthorized at Track Level
TRDOE,Doors Open in Error
TRNIP,Operator Not In Position
TRNOA,No Operator Immediately Available 
TRO,Transportation Department - Other
TRSET,Train Controls Improperly Shut Down
TRST,Storm Trains
TRTC,Transit Control Related Problems
